Distances,Angles
"[0.6326040347012595, 0.48593253187388075, 0.3489473021915619, 0.2526812467899045, 0.27282035530961257, 0.24649256718725654, 0.16260585494911314, 0.1569366422863, 0.12269299433666869, 0.17140821886558785, 0.14574748515603692, 0.14545440239507837]","[129.4825476633348, 154.13816763934605, 74.37720661059284, 159.5492954967827, 55.39765729820112, 132.99627266588837, 51.84093863963525, 130.3369620727876, 46.98068906561451, 135.42759242730995, 58.951784964272846, 64.66356898765568, 70.82609546425338]"
"[0.672707474987327, 0.48589522102856453, 0.3765123824473376, 0.3065636995377707, 0.32187185324318285, 0.25261332268968506, 0.15445620968004822, 0.1320927605294079, 0.12240603967666172, 0.1417368582995044, 0.13396189774007827, 0.13853373647604855]","[138.69759043139504, 135.2996047202538, 47.42901296267062, 160.14857722432396, 42.613621172431216, 131.86625947559708, 45.26275759876859, 131.37593070042232, 47.435281005088164, 138.06896885617198, 63.21722709803416, 74.3641806955274, 84.48669355844908]"
"[0.6189775998421425, 0.722983153721016, 0.41526528120793677, 0.3238382112555919, 0.34466561697279025, 0.1561698769079598, 0.30779790634040144, 0.13985458398074607, 0.10747266539539735, 0.1434295366944348, 0.13368557996352803, 0.15598764055297742]","[137.20051229768308, 131.6473741789701, 157.37088574026302, 38.98688110195152, 34.4477145945624, 155.13256308251954, 38.957046749499405, 144.36061671071857, 46.247338110933676, 145.2149536792147, 65.07111950675032, 64.1643212987861, 73.59881218609563]"
"[0.6146929159014781, 0.7114201221500907, 0.4091502087212266, 0.3237270746882042, 0.34143622247564687, 0.15927230222863537, 0.30248159066945046, 0.13531240590872812, 0.10674017042474496, 0.14384099511494433, 0.13191305047413665, 0.15283810435743253]","[138.17839164921932, 130.62887799179126, 161.39149478099145, 36.22832062230872, 33.42530288319525, 158.01675239056286, 37.798374849346246, 149.0022233416309, 42.94412345690702, 151.44754183452977, 65.6424009337177, 64.5142273452785, 72.56555653531154]"
