Distances,Angles
"[0.7148126471770697, 0.3876821477376808, 0.3621814846975193, 0.33003243756193584, 0.7893283621675806, 0.3615472558453354, 0.08739958285277766, 0.0872284975359147, 0.4862737175016199, 0.1554265737422569, 0.13703450295948455, 0.1355322556423921]","[144.80927478956525, 123.46741421834092, 74.76695721745776, 158.24031316785403, 62.361961866562396, 157.90576513231608, 55.93498645410763, 157.2964646556064, 163.03270454963035, 155.62790864965527, 65.35182830724821, 72.06913294235778, 76.36202486533857]"
"[0.4997472656138722, 0.48078391547703525, 0.42083286216300364, 0.34471498312266924, 0.8270051984195099, 0.10924810616301452, 0.08500209636743121, 0.09092762019852481, 0.5602866204991468, 0.11138824903195858, 0.10153275161249, 0.10799562448921837]","[136.6443395910681, 128.29629978920732, 41.59549459375789, 157.29081869094387, 36.87599616967602, 164.33239155993937, 42.39303218702721, 163.01306631632028, 174.0125274839144, 174.10176420073824, 74.13722313744555, 77.93348946035505, 82.1435240355462]"
"[0.5366581826379856, 0.4588817213506981, 0.4454843942581759, 0.335607454265626, 0.7926319201392943, 0.17810462605250765, 0.08530536305034267, 0.12233270608678004, 0.5225124854071576, 0.11710342325791408, 0.10285308770585162, 0.10898050548991842]","[133.85006033992505, 141.10863196360347, 34.19243570815865, 164.60735632621515, 25.066349302782513, 147.37179362709313, 26.22264105272592, 171.25332882073386, 176.2155541527427, 176.2081430629393, 74.63003573539784, 76.34587914213101, 80.9658640629808]"
"[0.5397114991309194, 0.46487698713620856, 0.4499598356298265, 0.3342620299441061, 0.7804582655008941, 0.18782388989848425, 0.0884962453798142, 0.12750459833188654, 0.5065738730018838, 0.11876672295557754, 0.10746464770079511, 0.11124705398159854]","[134.04428715361257, 140.93695240027918, 36.25711703896268, 162.95450304500508, 27.966064207171325, 139.9554061410217, 27.8669940422061, 170.41749484128044, 174.06182061464855, 174.67145828406063, 73.95924116151885, 74.28550738950338, 80.16517966195244]"
"[0.5727032056102989, 0.49230387356191924, 0.45530253598254, 0.3676868385073094, 0.7770214440435695, 0.2156496793983793, 0.08521522040342193, 0.10646444470944298, 0.4774355313624465, 0.1275248792353569, 0.11512558813561893, 0.1162214954794812]","[133.6112128856016, 148.1556825026131, 44.77538382443716, 159.81935242563776, 40.33396896779344, 140.15120873201838, 36.75255230926133, 164.06898250120906, 168.44748430446623, 171.4224312635921, 69.9063992325352, 71.21937660606889, 78.26244722446899]"
