Distances,Angles
"[0.7704059358449837, 0.43823120941633514, 0.35633251271177935, 0.2804005990882, 0.3117321800615434, 0.34710514547172266, 0.12949229518921834, 0.1456777473572344, 0.11533793844546053, 0.14510491630396258, 0.13582795844614104, 0.14787780966578365]","[148.70681479404217, 170.88394896137368, 21.790599809234312, 160.0134643255736, 35.602078786929894, 148.00808082295111, 32.84662867167311, 140.21230024426555, 38.65706859960178, 139.38057482936435, 61.804514706125424, 64.24505918550221, 80.57573884521015]"
"[0.7186458554718048, 0.42784622219296514, 0.35705404443603644, 0.32213758823623256, 0.3526076387234604, 0.3103463059689988, 0.12057916748490807, 0.11638595702681727, 0.11413111550738757, 0.13864075098690593, 0.13325054181871615, 0.14414590391309895]","[148.4360634984554, 167.66850369436094, 32.78627401373829, 154.88878842067248, 39.11117569078446, 128.63754960303226, 41.452351647516, 119.65638266054577, 48.8250703446304, 125.25470597252053, 66.01187670566013, 74.3754836150918, 86.73763633547466]"
"[0.6948787140121251, 0.4118841485900809, 0.35431642726664003, 0.32375692158198294, 0.36656339678376304, 0.293176641409128, 0.11904796406893502, 0.11060111641132916, 0.10209568531438484, 0.12775180013406387, 0.12735743346713782, 0.1423704873041586]","[150.14102049632703, 168.30347071351972, 35.20464320270061, 154.30273666793173, 37.23230886550322, 136.36596915774695, 39.194691976392996, 130.34922857368616, 48.93066887262632, 133.13564514219377, 70.40685397587876, 76.86048384458314, 87.81860294676352]"
"[0.6607107592908308, 0.4006510982490428, 0.345375779963858, 0.33298574079143123, 0.37884139582199544, 0.267463801691695, 0.1044413459110119, 0.10358944084821448, 0.08808808526878997, 0.11216656598797216, 0.11038076724306346, 0.12066674900606311]","[156.50077359046168, 165.13910250086033, 28.29681004338124, 162.26983345997957, 32.97615489481299, 142.9948301604806, 26.610436240684667, 144.45094605745612, 34.38882173502194, 154.55698641679135, 73.64172597605956, 81.90075468239463, 91.04117075532405]"
