Distances,Angles
"[0.7122617580704725, 0.9082775520967541, 0.9200079924219822, 0.8713660490218673, 0.7539324413150441, 0.5365739271064983, 0.20062761461024803, 0.14058395619320782, 0.2556956233621518, 0.11328051873907617, 0.10643482018858368, 0.11404593893905741]","[178.0589206642656, 168.3517848329289, 172.48092430224924, 178.39812615790063, 172.89746080085519, 179.1288335988589, 172.75776773963833, 177.11529108729115, 177.54477723237463, 171.9708437688093, 79.8011836042807, 72.20397623491054, 65.08165505092839]"
"[0.712892668020761, 0.9022581213510312, 0.9075229949989595, 0.8506092246155282, 0.7284513919059775, 0.49922660717431566, 0.19825404474597008, 0.14001044053044504, 0.24534770957798532, 0.11473009421423533, 0.10534913877524704, 0.11089998312294037]","[176.32839639437685, 171.99250928484128, 172.44885253936047, 177.89398734454284, 172.34812517372865, 179.6309295145512, 173.0177153228607, 177.3924484127767, 176.6700878051684, 171.83246914996286, 79.85606494432746, 71.94683232378465, 64.62443901301606]"
"[0.7048764840130639, 0.9078410123624161, 0.9174665645220135, 0.8558059173651338, 0.7340070083605569, 0.5220821212402571, 0.2022308942950612, 0.13916806968094234, 0.244590308953302, 0.11354747037204917, 0.1045713290930534, 0.11054246369259678]","[177.67992871140504, 170.46087210225306, 172.54333794273415, 177.77497453425428, 172.92485549846862, 178.9121949174788, 173.5840331578714, 176.89464241596187, 176.7063251663163, 171.79094340946926, 79.89750470512787, 71.07462993139846, 64.05899152455082]"
"[0.7039830400880585, 0.9093588329749602, 0.9118487372831467, 0.8531118580686058, 0.7283272408780803, 0.5072459345867261, 0.1927645458655096, 0.13994996827343775, 0.24974056652767238, 0.11253502731824411, 0.10355767424425205, 0.10885157475811728]","[176.77712490366451, 169.69417358705732, 173.27932909309882, 179.03984395778497, 173.0258077777561, 179.0842393203206, 173.43578274219203, 176.51554726449854, 176.76016924553903, 171.42476447787934, 79.7942307472561, 71.88353285979512, 64.56693785489567]"
"[0.7021818310877755, 0.891730540739795, 0.9065398191710546, 0.8677742867020095, 0.7526727570450575, 0.5135321013007597, 0.1930854404133637, 0.13789814838898096, 0.25554981865959403, 0.11291994639657758, 0.10576657766727318, 0.11238326214550251]","[176.87687745639437, 168.0202645868022, 173.02949089941455, 178.12335901208777, 173.26568626040037, 179.34744317315008, 173.12999496169306, 177.6040265297192, 177.3301984062292, 172.59928022031363, 79.53304920566396, 72.42245318206666, 64.75914984045485]"
"[0.6972360431958736, 0.8800492207956951, 0.9099874654619041, 0.8851881639008672, 0.7830612399187117, 0.4770216207744194, 0.19981161252251084, 0.1754618863320387, 0.2630110361941164, 0.11033170442552917, 0.10552849579885555, 0.11855743671476515]","[176.08656620678408, 161.37102600286946, 173.08961084161842, 176.77733047230444, 172.9536286082193, 177.2867618598765, 172.952878831098, 176.87305546785683, 177.84841837237295, 173.48765324653323, 81.84836705359625, 73.83467174071194, 66.39975579040981]"
"[0.6904487090412973, 0.8747341247851914, 0.904824072502944, 0.8855924605607719, 0.7826359677154456, 0.48024751957101885, 0.19763884589836156, 0.19145357789465292, 0.26027789627065145, 0.11117429469717581, 0.10629792771836805, 0.11972870160271432]","[175.68377054606324, 157.59760469750427, 173.70006715578717, 176.74493070511758, 174.42856998524323, 176.8492420419075, 174.15120112972448, 176.77543534498923, 177.7669330028303, 173.16632183774078, 81.5966623593355, 73.21391119306271, 65.45952941583693]"
"[0.7094491461629882, 0.8879016784868442, 0.9178982534919464, 0.8885342869768923, 0.7725733483477931, 0.4541673053063029, 0.18960833511377967, 0.17619790487599873, 0.26398356066138096, 0.10672351949224702, 0.1022212497994834, 0.11926713645976966]","[173.29405425691291, 162.34083775067316, 172.66146662494398, 177.79626136305072, 173.64506671563296, 178.2403105189907, 174.16799328816083, 177.22151513419155, 177.28783101092728, 172.87046658829937, 82.66831992187794, 72.44262530573383, 64.9283254049658]"
"[0.6954475263527334, 0.8779787845592123, 0.9159294741313438, 0.8941505692240153, 0.7864279068270849, 0.4543754047479529, 0.1855779283229648, 0.16746927059833716, 0.2629474205197283, 0.10770159873141477, 0.10484290124030378, 0.1193344543365541]","[175.43341227461138, 162.46654203144385, 172.20608837766073, 177.19845591042355, 172.89842369643523, 178.17621675588458, 172.9250468830338, 176.91050167182345, 178.31032363986822, 173.09405228869065, 81.94772887809621, 72.8124151042386, 66.54883818845951]"
"[0.694507929584963, 0.8825132068766484, 0.9161660520411834, 0.8862024249435609, 0.7762659262792084, 0.4567928139144906, 0.1910732822286694, 0.15277323658586764, 0.23597834792076353, 0.10532974212124167, 0.10289631430972193, 0.11673607421874234]","[175.1252573687713, 165.96915121336025, 171.8449412141107, 177.78775443809087, 171.717264096843, 178.2514234979568, 173.63983885285379, 176.79736643111505, 176.68513111798555, 173.3278754222919, 81.56932486159717, 72.50535073042047, 67.43579934342982]"
