Distances,Angles
"[0.7045698205484295, 0.9241846158134318, 0.38924172133516716, 0.39686582304400647, 0.3829105244778879, 0.3803605521715124, 0.535371839495106, 0.07614078129082175, 0.09806486141270027, 0.11009048132962, 0.09422048544149615, 0.07597710063393887]","[161.09506742755218, 169.0303397833038, 167.86932806426117, 173.47059113612633, 73.24850155069714, 120.63913902951701, 67.28965944009794, 110.6773793193992, 68.39968136737721, 135.2303324621692, 65.97722407648484, 81.95383105879793, 94.96927953477122]"
"[0.717081044982662, 0.9563835336028207, 0.4138097326156028, 0.4191091289078474, 0.3971376380291787, 0.39250408807811527, 0.5434852729901027, 0.08486817579354092, 0.0924117718781608, 0.10552304564234094, 0.0928970063837628, 0.07566790478154906]","[161.54324500828994, 169.69410582899314, 169.94919230581394, 173.82228018112477, 75.44828339257441, 121.26967834446424, 68.22079524279245, 113.51284243666635, 71.09768818036196, 134.01967638801662, 69.03217426182447, 82.86553166068784, 94.953854917098]"
"[0.7183320845689152, 0.9420873800901678, 0.39054876319715975, 0.4086209963419934, 0.3948301925745483, 0.391676800036355, 0.5518196007440781, 0.06792831937675402, 0.09093847635984074, 0.11397464374911857, 0.09866746779698575, 0.08073812309697588]","[162.5472189944999, 166.8656147078617, 171.8736461581001, 173.58945571582768, 77.68671980581864, 121.17846570995073, 75.15275104845686, 110.73540111605872, 76.89588681618767, 131.72599597368117, 74.5836229599136, 84.35944493378007, 96.99347159312376]"
"[0.7247843204574994, 0.9518121711038257, 0.405192507432027, 0.42215221390126806, 0.4096559969548151, 0.39154071100763976, 0.5474042822004193, 0.07673940667754937, 0.0948377994979043, 0.11063202851252112, 0.0963772371164006, 0.07756798563832863]","[161.42004958615698, 170.1864782204836, 169.96828608989344, 174.72104191960858, 74.03730738124277, 121.67208003775791, 67.12506610066625, 111.05345244952775, 66.90780599061509, 133.9801147963569, 70.79440282140793, 83.85752975189902, 95.73463855399183]"
"[0.6815776139077654, 0.9044358330017324, 0.45427742309166913, 0.4468048306092536, 0.39582450531706626, 0.3463302222592474, 0.45891767093824853, 0.07457127302732149, 0.07915919740829937, 0.08621347241687997, 0.08587996007710202, 0.06747561744032049]","[161.77400464135272, 173.09340657271053, 174.17468950905635, 176.44758939599515, 101.45234095184708, 137.78610243714718, 90.59256732352897, 133.348783708049, 85.43371972262503, 142.07438026667796, 74.32799835606976, 79.51083187463186, 81.45713948777593]"
"[0.7108578850696594, 0.9543125495857603, 0.47836275709136183, 0.4501335173042445, 0.4039143259334388, 0.34930345419676506, 0.4798224899932932, 0.08644724077565136, 0.08943931166876805, 0.0963529027228761, 0.092958950368666, 0.07509927011342446]","[159.057452840706, 173.12591477678197, 172.15869446422158, 176.54749687347564, 103.20256793930963, 143.52737967092656, 88.98725931892348, 142.5779930363259, 90.6262657824253, 144.19487380620893, 71.58505258621732, 77.88523972186046, 79.90758033846815]"
"[0.7336496531392214, 0.9935901295885715, 0.44729428749894795, 0.4288928634151555, 0.383518258050935, 0.38503032924785785, 0.5577085544014292, 0.08878674216183549, 0.0983348926177458, 0.09639335879068064, 0.09150184872957162, 0.07343255374094405]","[161.83179536367476, 172.9459367672875, 172.97007342718078, 175.35844034211198, 104.93050853438831, 142.4047137588303, 89.63714540251983, 139.82836659673953, 85.4243355623427, 144.6416480230191, 72.09329892185444, 78.73187301990973, 85.04070523710124]"
"[0.7299096385404237, 0.9508049507199555, 0.4961903548721492, 0.47165822756408643, 0.42617119495002853, 0.328096536693486, 0.45633430317630364, 0.07984141237528694, 0.08620567521289878, 0.09542059653948128, 0.09156354038054605, 0.07439660439682258]","[158.97222399506435, 173.67345611416675, 172.247848193342, 175.49212833646843, 101.08282857098393, 145.0775102207921, 88.5317254331278, 143.4164788088128, 92.84469941443821, 143.65298917762385, 69.76020663206282, 75.02400366597357, 75.86431735024485]"
"[0.7472074948235883, 0.9947015103277604, 0.4184514462151731, 0.4110218318617242, 0.3773445092758564, 0.3775008880315005, 0.5771438618425803, 0.08374777878362136, 0.07587190443872811, 0.10664453652599327, 0.09077637776599794, 0.07587815678866631]","[162.88866460188314, 171.91415829162736, 172.73771328486382, 176.4836809926173, 83.4652295112209, 136.14670326470733, 80.89290923232096, 136.7858995294685, 89.28797664723929, 143.93300380168068, 74.85357826075627, 80.63343116455339, 82.97544589617101]"
