Distances,Angles
"[0.5188507377977285, 0.9164082869188241, 0.9088745653637692, 0.33607787047282145, 0.27496012922839386, 0.5053067845258625, 0.28828193494647364, 0.5946362138013994, 0.0855369925111553, 0.1121487328510586, 0.10940059057120033, 0.11712237490996615]","[132.95780269247925, 157.24093394138868, 176.77720386624694, 175.31752158486083, 178.8538189765789, 170.51495469194867, 56.14771177320896, 154.1138976185224, 56.95876911643932, 157.45731010839015, 71.93747615716457, 55.33266599227348, 50.282880176268975]"
"[0.49227441777733205, 0.8237855514512613, 0.8540633573655916, 0.33131078460144636, 0.2586192650811788, 0.4037055086896277, 0.22095976753444047, 0.5426219001589939, 0.09586953420934843, 0.10230898422620853, 0.09940169922196636, 0.1054279922251226]","[134.85817167392128, 153.5059499187234, 175.5607131262129, 177.25480794020874, 176.08123940119438, 171.6364262613554, 44.475115712958846, 157.71094652532202, 64.03098725862205, 156.66742494216751, 72.71277273453934, 61.60042415812401, 57.65854982270885]"
"[0.5293308441692994, 0.8472096767635886, 0.8668741356838543, 0.3585510826261969, 0.27351496433223726, 0.41641724812220726, 0.21846337707657268, 0.5283592075094369, 0.10055555189661972, 0.10256585889291563, 0.10455920029541914, 0.11275116098190391]","[132.73818989074618, 161.16160636598838, 173.94069959071814, 178.65736867392187, 176.81439382855984, 172.26378117783256, 49.4774764268657, 154.95515520864217, 61.05721175327988, 157.4881855104747, 71.69270707574061, 56.363187050566026, 52.50677206670775]"
"[0.5122951539902172, 0.8474266790454608, 0.8630542847300612, 0.3492963859137505, 0.26243450525258694, 0.434748756086808, 0.218012079089765, 0.5351791453204164, 0.10491006816791772, 0.10476616995177558, 0.10369601661535513, 0.1143518538154353]","[131.38414240408693, 158.4444879381747, 175.56282507167725, 178.01165528634553, 177.70770236759938, 171.90642448018812, 53.026013101347424, 155.00206563303328, 64.92255229980353, 158.53183013483823, 71.32051742115138, 55.50794503964994, 51.06403306943629]"
"[0.49262887416253165, 0.9245102218243093, 0.9232149747930172, 0.3795610249644887, 0.34717637875505547, 0.5186951280724078, 0.28622708106413336, 0.5667885915835674, 0.08720212059185559, 0.11861639335323967, 0.11350283821772403, 0.11578555117710584]","[133.01085334368406, 153.92284684640353, 176.03181876870823, 178.78099199968705, 176.6036009085472, 174.40844177771774, 61.33269076980871, 154.43718031455595, 57.947599745191845, 158.53986513002886, 72.18127167443558, 57.99953357841499, 57.892859311756425]"
"[0.4806263305800665, 0.9209163521262397, 0.92422543431158, 0.36905565229361886, 0.3392960793640943, 0.5222593161020352, 0.289850128790362, 0.5828737032798197, 0.07876150763105604, 0.11751176400952448, 0.11207712339420572, 0.11563057593285678]","[131.6956835932512, 155.54275961993596, 174.53217601495393, 177.0343682699431, 178.16041603174025, 172.62873399180083, 66.78993361618964, 152.8436740969976, 58.4061822957833, 157.3779050755721, 73.39370241102526, 58.02241267914252, 56.73907862180209]"
"[0.487311014349554, 0.9182999463793821, 0.915339433981693, 0.35359750093537595, 0.3337704121742798, 0.514269967896993, 0.2842702312888288, 0.5862990195374405, 0.08142689614359108, 0.11621680335813822, 0.11052203559432942, 0.11378390623636223]","[133.9607449538473, 157.1952615824688, 176.8796969654764, 177.4310647530888, 178.55993941418689, 172.6860306742561, 61.59225093971409, 154.84674785526332, 56.213573773644946, 158.3377607141134, 73.85441688887256, 59.19058997388488, 57.10881484823202]"
"[0.49826815904095034, 0.9210618019734145, 0.9300528983398415, 0.3672631821514151, 0.3338596164652335, 0.485351811684572, 0.2750470468218292, 0.5795186234004415, 0.08157747296535521, 0.11527900413019136, 0.1113989577167781, 0.11489678896469928]","[138.35333063086728, 146.33557562336142, 175.09322924057477, 177.18723705304538, 177.3948471927973, 173.2860453276555, 55.49812952294853, 155.44541942107156, 51.77961069998319, 160.26089311505152, 73.66977193078975, 60.08851591178832, 60.05031199690459]"
"[0.47653708941968503, 0.8617995756025496, 0.8815810020060176, 0.3495302825059753, 0.2954706652057763, 0.4345924398651013, 0.20437504095732104, 0.5515123201849841, 0.07279546977690884, 0.10228875446818098, 0.09768838396818376, 0.10556882048463267]","[133.9426667905668, 143.6058522973002, 176.0133751720416, 176.17100212143725, 178.88429341976337, 172.2993709744074, 55.94384236716144, 153.11642187858342, 63.32744457712638, 154.73549475082942, 73.41693381464002, 59.24579330249169, 56.99940183219619]"
"[0.4825623711548144, 0.8717543318645435, 0.8911688870748282, 0.34947509323892595, 0.30118953324908343, 0.4385324926128521, 0.2079785465884114, 0.5602504563901164, 0.06783102298403076, 0.10163042689886699, 0.09870067458689756, 0.1090547276151069]","[134.93163640648282, 149.10239826020353, 175.76587476714892, 176.31955582202264, 179.64431172051036, 172.51903864394933, 54.14721574024974, 154.24741374111284, 60.73630361829495, 155.13081072656885, 74.54590971724569, 57.718868666217084, 54.3662847815091]"
