Distances,Angles
"[0.5485816140823307, 0.9263030610191445, 0.5499366052897744, 0.9153685911819278, 0.7749548014546451, 0.4388499075579532, 0.4414856012223969, 0.45472787749636046, 0.3164107496283478, 0.11144571752372225, 0.11193999396774744, 0.12413060267622823]","[147.8399940257491, 148.85813190751054, 170.37343007074605, 169.61290567474836, 68.76773995673034, 152.68790917187195, 169.73093300395539, 168.5159003156033, 164.37415495012195, 175.62489800724634, 78.20640561091926, 76.6747181136633, 76.39600492076549]"
"[0.5547523673846891, 0.9138105392129683, 0.5754083786508958, 0.8966501736926699, 0.7684674514944999, 0.4359840270856635, 0.38849346817218533, 0.427975913880193, 0.2997478929050559, 0.10934811765262582, 0.11068006008371672, 0.126800289755423]","[149.73449927853665, 150.45267015352005, 167.44286176116304, 169.0015251754956, 68.71548909892168, 153.5756526833003, 170.65655111194502, 170.16344567854017, 165.02535396219952, 178.87595380744114, 80.83616978215264, 75.83782822727991, 74.58197051931448]"
"[0.5264734149911118, 0.8347533803529853, 0.49650989584324134, 0.8714253875842821, 0.7258255800569599, 0.3634085994717588, 0.3518031368061295, 0.4385736541636628, 0.23294276344265438, 0.10783442985472909, 0.10719882513931603, 0.10760981147751647]","[141.43836774196834, 133.34800546177865, 173.01125878074282, 171.898995170107, 57.299363597652544, 145.4115547678216, 175.54503092229254, 170.507386294905, 178.0887054488208, 174.48197389682923, 70.9292909118642, 73.14138039458602, 67.93195831242205]"
"[0.5313717594342103, 0.8275468390290788, 0.4830686539380856, 0.8711984392251905, 0.7280296853076902, 0.3436347631363507, 0.36247631747846987, 0.45774457389647477, 0.2289529234762305, 0.10400508405164946, 0.10606108467833555, 0.1093075882547449]","[144.15839004376326, 137.6414146653891, 171.30412885786333, 173.3521807674627, 57.40723776265254, 148.79013741948114, 173.48216840117442, 170.52528879016134, 171.0935582934484, 176.84298995258655, 71.50391266278568, 74.63644652654025, 71.41812821039532]"
"[0.5572545974470327, 0.8151153678839235, 0.49670323811023076, 0.8719047802070073, 0.7185682235232256, 0.33831611673227074, 0.32909172774229556, 0.43504071893771107, 0.23626435731702064, 0.10880379016728518, 0.10572849157641978, 0.1044909187031942]","[140.42428024604502, 139.59769202615777, 171.0410936007265, 173.3202152673358, 52.794879506528574, 146.23934927898836, 177.83817788304577, 171.7825721598947, 177.62308667441005, 176.00627578562148, 70.76269045511219, 74.24597556125488, 69.04090698641315]"
"[0.5344729567705114, 0.8301623925998329, 0.5050299827388878, 0.8697341790773664, 0.7272065398289181, 0.3573586138318758, 0.33798932767171314, 0.4261985880488278, 0.22367410256854728, 0.1040188400535844, 0.10574071626332356, 0.10896847004790046]","[142.40025674895793, 134.6265246526247, 170.9067982532016, 173.23701408821185, 53.348873040823655, 146.40284198016857, 178.4748834164584, 171.73161499436452, 176.88688536462504, 176.10761599321958, 70.07754496038702, 72.17918056364518, 67.83479873696788]"
"[0.5332467717106477, 0.841680077950184, 0.5379301282352238, 0.8610618455233897, 0.7314788959443084, 0.328950964783683, 0.33590147044439767, 0.39658524540973783, 0.2230156094455154, 0.10562695861701703, 0.10907600376230597, 0.11871288457176]","[150.84841072152005, 146.49941986903278, 174.51283516062065, 173.2484143178222, 62.920822327790944, 147.45318587548823, 172.6620006921664, 171.29062293416726, 166.29153033548826, 178.86861737871382, 79.16776186419439, 75.77721880778957, 72.79866469082087]"
"[0.5407473445325068, 0.8483405204233856, 0.5341503504932353, 0.8547468147852798, 0.7173034534915127, 0.33315303532545126, 0.34060508534935013, 0.40469998794181566, 0.21618665639907939, 0.10553218560498945, 0.10930087505022588, 0.11341142128549508]","[150.36037249411388, 149.15747616253313, 174.7171127864243, 174.67429312572685, 66.33937271993277, 145.07829913354442, 172.23209112951517, 170.80583346826342, 166.63858068196578, 177.28349888030363, 76.26344410620491, 75.2958585412073, 72.25674403202949]"
"[0.5269060512419387, 0.8575868377473594, 0.5354991973690493, 0.8409174457510655, 0.6964491614459647, 0.38238927732821754, 0.3470946990440207, 0.3497538339873333, 0.2079651363037355, 0.11170465646474825, 0.10552155659828583, 0.106240997356316]","[136.54252597832894, 150.51685318666216, 171.0186207806006, 177.5154318532485, 66.01860554484884, 132.80104598678068, 176.8913066447699, 172.0446006984958, 171.20838698733826, 176.22199077143242, 72.29773216632296, 73.39516561879198, 65.43534262319572]"
"[0.5282301802127284, 0.864455425351406, 0.5151315649334371, 0.8682719984863532, 0.7067069423687831, 0.3817256532978501, 0.3658541568998586, 0.4224906107861423, 0.21976291564675784, 0.10934077668927983, 0.10860992466582849, 0.10996903142424867]","[139.84549720129905, 157.94204186081123, 173.17602623271395, 175.80788341547816, 60.44791390322492, 144.32603955569525, 174.92079702566056, 171.60959156000172, 170.0402162780491, 176.37608101188184, 72.89747877784012, 73.72605922916047, 67.76381258776131]"
