Distances,Angles
"[0.6447966116335742, 0.6758274247971303, 0.6703833534077188, 0.6505330784181633, 0.6516995301693749, 0.08753260866336629, 0.049121367801588815, 0.03172288049900925, 0.04386290847886554, 0.09569112139027997, 0.10857595653695515, 0.14172617789130088]","[154.8504749595489, 168.48505665971226, 132.61676934166402, 148.17853840525646, 124.48140450788985, 147.0481821833724, 119.25740569510519, 140.27760014757277, 127.67134474608342, 142.63434997825175, 72.7462247852349, 67.6134080875633, 74.09277969314968]"
"[0.6314667967496643, 0.655744301545407, 0.6354933162633547, 0.6250524992110644, 0.6696180284048407, 0.10933325966888897, 0.07709571385223227, 0.0491318690936193, 0.10538385560300724, 0.08352814490272337, 0.09810942286820289, 0.10001821478871752]","[162.8575810088761, 164.40619529539563, 114.20085203416328, 135.5330068016623, 105.95397237845455, 135.32852477943624, 105.30261412917883, 135.95010274320515, 122.95753397727873, 142.1879782397967, 75.95902153020931, 75.26292653316105, 72.856952904046]"
"[0.6571105612442026, 0.6992542462447359, 0.6936112359428367, 0.6802708584465671, 0.6977709494124202, 0.09821587190626886, 0.06358852713164231, 0.017336518502987848, 0.037946240405732835, 0.09059562905905366, 0.09850643790992719, 0.12545549550781024]","[154.87649165180756, 172.94219755260983, 137.23562006409514, 143.25984459560854, 124.05905504403263, 142.37260314121346, 120.19322575111795, 137.97755149627562, 132.4235156443013, 141.31273558439457, 78.33561637763884, 70.03946865523443, 71.65558241028756]"
