-292,11
-255,-6
-225,-37
-202,-60
-178,-73
-255,-103
-237,-142
-217,-163
-199,-180
-277,-110
-268,-159
-253,-189
-239,-214
-297,-106
-300,-152
-290,-180
-279,-204
-316,-91
-327,-127
-327,-152
-322,-174
292,-11
254,-23
217,-48
188,-66
165,-77
246,-106
232,-144
225,-166
220,-186
269,-115
262,-157
258,-184
256,-206
293,-113
293,-154
291,-179
290,-201
317,-104
322,-137
324,-159
325,-179
-295,12
-255,-6
-225,-39
-202,-62
-178,-77
-256,-102
-236,-141
-217,-164
-199,-183
-277,-110
-269,-160
-254,-190
-240,-214
-297,-105
-301,-152
-292,-182
-280,-206
-316,-91
-327,-127
-326,-152
-321,-175
295,-12
257,-25
220,-49
192,-67
169,-79
249,-108
235,-146
228,-168
223,-188
273,-116
265,-159
262,-185
260,-208
297,-115
296,-155
295,-180
294,-203
320,-106
325,-138
327,-160
328,-181
-302,15
-261,-3
-231,-38
-207,-60
-182,-75
-262,-100
-241,-140
-223,-162
-206,-181
-283,-108
-274,-157
-259,-187
-245,-212
-303,-104
-306,-151
-295,-180
-282,-205
-322,-90
-333,-127
-332,-152
-325,-174
302,-15
264,-27
227,-51
199,-70
176,-81
255,-111
242,-148
235,-170
230,-190
280,-119
272,-162
268,-188
266,-210
304,-117
303,-157
303,-183
301,-205
328,-108
332,-141
334,-162
335,-183
-311,16
-268,-3
-237,-37
-212,-61
-188,-75
-268,-100
-246,-139
-228,-163
-212,-182
-290,-107
-280,-156
-264,-186
-250,-211
-311,-104
-313,-151
-301,-180
-288,-205
-331,-91
-342,-127
-339,-152
-332,-174
311,-16
273,-28
235,-52
208,-70
185,-81
264,-112
250,-148
243,-170
239,-190
288,-120
280,-163
276,-189
274,-211
312,-118
311,-159
310,-184
309,-206
336,-109
340,-143
342,-164
343,-185
-312,17
-268,-1
-236,-36
-212,-59
-188,-74
-269,-99
-247,-138
-229,-162
-213,-181
-291,-107
-280,-156
-264,-186
-250,-210
-313,-103
-313,-151
-302,-180
-289,-204
-332,-90
-342,-127
-339,-152
-331,-174
312,-17
273,-28
236,-52
209,-70
186,-81
265,-111
251,-148
244,-170
240,-190
289,-120
281,-162
277,-189
275,-211
313,-118
312,-159
312,-184
310,-206
337,-109
341,-143
343,-164
344,-185
-315,17
-271,-2
-240,-36
-215,-60
-191,-74
-272,-98
-249,-137
-231,-161
-215,-180
-294,-106
-282,-156
-266,-186
-253,-211
-316,-103
-316,-151
-305,-180
-292,-205
-336,-90
-346,-127
-342,-152
-333,-174
