Distances,Angles
"[0.49954704217468254, 0.9074429155203231, 0.9284243933032004, 0.466978554336534, 0.7852991944422337, 0.4923741858918837, 0.27386470987410194, 0.48371615562717907, 0.45192818472306345, 0.12551900034034147, 0.10249402153149566, 0.11914477482508176]","[135.02436422682686, 143.3137439803333, 175.78024020569066, 173.16355074741298, 173.53515616772552, 170.0837798565854, 45.87563048258087, 162.68429726777998, 165.9323732534388, 170.95255951752054, 78.36715265861018, 72.62700874120183, 69.2509896000102]"
"[0.4946276961400539, 0.9128348545656393, 0.9273322080138904, 0.46396296375216317, 0.763775424913558, 0.5046479715652187, 0.2759936835958809, 0.4780206745176015, 0.4201479402844535, 0.12745597466450231, 0.10342734557253691, 0.11943126028047592]","[129.47474765177716, 148.80257613227533, 175.8117904226141, 172.36292554281135, 174.44463984414185, 170.04961182653884, 38.41506890168057, 163.2873807027817, 163.3796910659462, 170.8853391416049, 78.63249806941131, 73.98637218543975, 69.29712530658402]"
"[0.49284497517578624, 0.9177396800955223, 0.9382260287512039, 0.46976505626609916, 0.7610355162163898, 0.5255962092281012, 0.28739937953792705, 0.4978357387889084, 0.4047414967686894, 0.1352759528097197, 0.1099830630283878, 0.12243604914149982]","[129.5730543770038, 148.63683353310105, 175.23600845681113, 172.61009293091763, 175.00358318377172, 169.64996858921418, 46.137467112441634, 160.17287819339876, 163.44739185445468, 168.6641035639102, 77.41154118923924, 72.81579712241991, 70.56892255531928]"
"[0.49134344935847685, 0.917301856253386, 0.9363803548943456, 0.4609172931014769, 0.7708759053455084, 0.5238714657953981, 0.2769263043566874, 0.49746387052848434, 0.42639394308104267, 0.12920835027732125, 0.1064697995694554, 0.11831056957033553]","[128.18204236165613, 149.75427917502623, 176.6101249229091, 172.83728730611284, 176.2392499556358, 169.53130905255927, 42.12825090321186, 162.09646948078134, 163.00477245414845, 169.95838078772982, 78.58576832492204, 73.60577629338376, 69.62828869697012]"
"[0.5053538159884008, 0.890650593742371, 0.9418118997070402, 0.4729732082950376, 0.7870371012627511, 0.43821018735373707, 0.239550782048846, 0.4792530031955387, 0.44965533842120364, 0.11313146201105177, 0.09313466061808108, 0.11702888469048582]","[144.687144448107, 132.38812482210847, 175.8754020908079, 173.62703768185963, 175.13259589367732, 171.9362859293031, 36.0066358849858, 167.34980183184496, 166.2673814065839, 171.82970498063492, 81.13789913526516, 72.70854568003722, 64.02139401882643]"
"[0.48010713836835134, 0.8741786687492666, 0.8755857250428908, 0.3962336034153438, 0.7115166845885746, 0.48912822374579984, 0.21866915547169316, 0.48959988149304046, 0.36651766927587115, 0.11482951565181206, 0.09358710704751068, 0.09857723605195924]","[135.02071413909556, 156.2088913222649, 176.74339977895806, 172.66092418274604, 177.0432838520232, 170.81684645788553, 35.52184650603094, 162.58708489092322, 166.62281325573247, 167.39929114841846, 78.29821308131535, 70.90697755033509, 65.36255848112161]"
"[0.5117635817204613, 0.8774396913071393, 0.8810729965142065, 0.3979541639012264, 0.7214931207430043, 0.4839143521962258, 0.22464312941414538, 0.494668804173819, 0.37095503239644545, 0.11602659186506498, 0.08542127479392204, 0.09721800036695648]","[142.04558155072377, 150.45513356091084, 174.69816837181168, 173.74170610493786, 176.08146994117382, 173.43347781904265, 21.97529049955917, 167.0261672651069, 169.49024643562922, 169.4207406248471, 78.2886557408098, 73.56049184887166, 65.99684334434046]"
"[0.5090886930112167, 0.8736637252730826, 0.8740827933561498, 0.3882664840295289, 0.7099932193887731, 0.48916163190958023, 0.21731071291623336, 0.5024155778827231, 0.36343790269903764, 0.11930801735023158, 0.08785388783371627, 0.09570064488276893]","[140.84115527918058, 153.47936637961956, 174.99281713609307, 174.04878696935896, 177.6667103987475, 172.32312202642717, 27.25183211942555, 165.6994292311076, 168.99722664776897, 167.50521915970873, 78.35356264074149, 73.61472400783961, 65.23749824659139]"
"[0.5007544460985203, 0.8710408019297088, 0.8742941645727996, 0.40382674892995535, 0.7129925591926018, 0.48405499001291974, 0.22266651766980664, 0.4891353556662896, 0.3546003512958716, 0.11714120793402191, 0.0911990403826246, 0.09725291229354942]","[139.42826050569442, 154.95283512998103, 175.68770293240152, 173.83104288976773, 179.47663625820815, 171.77547362508776, 33.16522238875387, 163.38996654249235, 168.88903530130517, 168.21749282921445, 77.67965986207682, 71.14922400695689, 64.13594009744774]"
"[0.49434574382167695, 0.8676659497923233, 0.8744500231427897, 0.4055106930315101, 0.7247687044285634, 0.4664387501887085, 0.21592589785652855, 0.4781515113184866, 0.3765286777343786, 0.11432129176071217, 0.09205073848226367, 0.10207426680400795]","[134.44849537498624, 153.62365165148105, 175.89542225048677, 172.86505090942595, 179.4042017307455, 171.01260899536595, 32.68763252932181, 162.3848123630134, 168.66885946809472, 169.8978067723461, 77.75824529588948, 70.25645273794127, 64.17396773511729]"
