Distances,Angles
"[0.5107844423705389, 0.5373494026396528, 0.9117929496898288, 0.8421156610258845, 0.737860127747743, 0.06549417240838594, 0.4873976698490578, 0.23437877533975085, 0.1828590961662828, 0.10130708465464262, 0.09303133969987205, 0.11126102431080699]","[154.6939071143665, 140.10788180734693, 94.6917206983129, 146.59986048780218, 176.14051771887696, 172.72665833022347, 178.15162741379336, 174.3848461633288, 170.0863805032427, 176.37096209716304, 88.24146592931156, 75.1747316244509, 63.72708355601505]"
"[0.5169076539630368, 0.5387472395380469, 0.898224709290619, 0.8324556873231901, 0.7157058785264095, 0.027755506261183806, 0.4691870291546808, 0.22378982547614398, 0.18376512287471944, 0.09860319406852452, 0.0877786694845401, 0.10371245208134135]","[150.09348261952695, 143.54535642574413, 97.95594875152646, 141.32968520424296, 177.04037042513093, 173.29688148052014, 177.4009587625241, 175.17772007826687, 170.3631192369652, 176.87779603497927, 85.3935059142414, 74.86393771740686, 63.30639391218459]"
"[0.5457643541311212, 0.5421625810965277, 0.9017941466768818, 0.8290556172001048, 0.7143426225979695, 0.04355778984226078, 0.47846217062958396, 0.22163160189089626, 0.18565971359784064, 0.10142027850261257, 0.08609200870347339, 0.10378651130833556]","[152.1465314146451, 142.78644807933355, 103.25229710399464, 136.32156205022886, 174.8079543433114, 173.06335254880028, 175.97234535922234, 175.13953828819984, 170.40957465377087, 176.58756272694862, 85.85724620130753, 75.55944392934708, 64.4477669836673]"
"[0.5236546048115795, 0.5401965320671737, 0.8981389254499007, 0.8287931745608264, 0.7113905881651238, 0.03767052453909107, 0.4776560282047286, 0.21927263205166525, 0.18519442816800905, 0.10051683506250991, 0.08591765845915827, 0.10248578923446164]","[152.32190554785234, 141.30407443438372, 101.4691430434628, 137.9165484095368, 175.3854757563902, 172.66295254028532, 176.84209966219956, 174.86995547430362, 170.663508093398, 176.4069342723144, 86.45823727756219, 76.44882833875236, 64.89531031320213]"
"[0.5274484217079307, 0.5360230367492298, 0.910885087553143, 0.8356978019119353, 0.7271641567755099, 0.04390868974582223, 0.4861605515426644, 0.2255559752622465, 0.18075860497241003, 0.10405009817039237, 0.09096747242326814, 0.11086097198123458]","[151.7554998775444, 137.97226968444778, 97.02413444790275, 143.52963612072375, 174.39628909049947, 172.57206927257008, 177.71365069239258, 175.08788000726997, 170.1806909824813, 177.1359021550448, 87.86001176726715, 76.10765391926583, 63.28547002062004]"
"[0.5663655017602571, 0.5649080556075092, 0.9048898454925121, 0.8787614227766721, 0.7740805808617199, 0.049170277026501515, 0.4569229292543353, 0.20018329212061098, 0.2711106638118137, 0.09524843566396413, 0.09548256778930594, 0.11503639968646194]","[164.72702356678178, 131.9042418076683, 97.90384304130396, 139.45523832259786, 175.00257221676722, 171.99195942990337, 176.00008862388592, 175.28339222043516, 175.63192069961138, 176.0812126841548, 90.76829295309241, 77.36568643761615, 68.8201668489205]"
"[0.5524513034509362, 0.5648604578057502, 0.8932920349842228, 0.8728431387330663, 0.7681290958473193, 0.045975565031852836, 0.43783138784466713, 0.20206613159267928, 0.26936796349050013, 0.09964315208720426, 0.09490294165414188, 0.11239887732076849]","[165.94438985476782, 126.40357089711117, 101.0336478938333, 134.6534727675327, 175.14333154012067, 174.1167159831877, 175.5520302994665, 176.32166815317396, 176.27954035836325, 175.95809514048707, 90.36449616817748, 79.07046919666824, 69.1054252213279]"
"[0.5559559838715041, 0.5630116748842632, 0.9030182784858534, 0.8761609122872833, 0.7636936824634999, 0.06485418468917262, 0.4526291262173947, 0.21047393491252203, 0.2741054429247308, 0.09362682780806579, 0.09430434687794662, 0.11153475486940906]","[165.49260612140375, 129.9837191975627, 98.70286901394603, 139.63389434239286, 175.0987497248538, 172.4798383674663, 175.11864501148588, 174.64135590069714, 175.57032373339158, 175.91986209392527, 91.40036410199377, 77.26956040657969, 67.53742073748947]"
"[0.5558923459697482, 0.5553403522731883, 0.8982012808111313, 0.8674909435351081, 0.7619079424654237, 0.0658437061008912, 0.4646745205879794, 0.19960541058299858, 0.2821181520727264, 0.09805119122581113, 0.09519587833154275, 0.11259718853048807]","[164.00396362798895, 130.65975192669973, 97.40067635442863, 140.38030031963066, 176.17220734436052, 172.72035425517123, 176.35835929668448, 174.9633061372444, 175.1215458813523, 175.4588817819889, 91.06256248845963, 78.53254429741303, 68.8646632388026]"
"[0.5443118371564654, 0.5515000049945424, 0.8876006005695167, 0.8643536520266767, 0.7598876476836729, 0.06374110572050826, 0.4515950588126261, 0.20508419710739434, 0.27326197584648676, 0.09623336878020587, 0.09597988329829073, 0.11275457710764962]","[164.84648256211904, 129.88625431207547, 97.07976304769848, 139.65197102874652, 176.10138444200618, 172.71470388816144, 176.22702303629006, 174.84361788895453, 174.94963923049576, 175.87565687920792, 90.2197556312085, 77.99752040654242, 69.16574953839888]"
