Distances,Angles
"[0.7125313902476782, 0.8805768271550796, 0.9139690813063815, 0.2970859617361241, 0.23870169394476629, 0.4525291795801997, 0.29886788794089336, 0.6609623637175082, 0.08220819605805768, 0.1138201100199106, 0.10994766262426309, 0.11547579558327713]","[178.46411807654468, 171.31394521293592, 177.77899623338206, 173.80602409990664, 175.89459174589973, 167.8038681718477, 67.04346566646723, 155.10800312090316, 67.52547481612305, 158.30677192551025, 73.10605833235472, 56.03504368920942, 51.77431395376654]"
"[0.7263342206469857, 0.8959041529236041, 0.9197363113212107, 0.3055306199432103, 0.2496504548392685, 0.45755794190234567, 0.3034483132298989, 0.6508391855951432, 0.08147074066393119, 0.11629216664360469, 0.11262100356391326, 0.11743277778987746]","[177.2684083063074, 173.7597260646455, 177.7941292356169, 173.79801904533562, 178.0660386567969, 168.18716299987952, 65.75768731676774, 155.63446071016895, 68.68699518397707, 157.16391070421605, 73.32214997163402, 54.51917334358082, 49.74677387686287]"
"[0.6965144322304702, 0.8660766267191887, 0.9155500058755803, 0.29993286028661176, 0.2408371184950279, 0.4564419196452152, 0.2918112046411785, 0.6495090081806068, 0.07920713731857487, 0.10973780914633316, 0.11155074889506504, 0.11864901664017212]","[175.3160804667181, 172.96441476824174, 176.81663725605358, 175.43743801228248, 178.26072828932686, 168.94281794810172, 64.70479667565986, 155.20876638789971, 67.29504444401526, 157.9463428324896, 72.64976775837687, 53.47264575426158, 50.57187642589195]"
"[0.713682186094656, 0.8732440089211735, 0.9044801979171583, 0.30920858471585927, 0.2400980506943961, 0.46244859495431817, 0.2852474329633831, 0.6488376945104998, 0.09565180905354197, 0.11351136449132479, 0.10834355557930914, 0.11582783800362094]","[178.75561564073737, 171.6613856175602, 176.34867995715067, 173.9560652203555, 175.27171041937652, 168.38072238893832, 66.86348045981238, 154.35553686690065, 70.69220380059897, 158.39497655584032, 69.8931520781592, 55.20566238320374, 51.53950219925692]"
"[0.6817497875529014, 0.8594030107217127, 0.9106747625038536, 0.29455830882262407, 0.22682404881320675, 0.45852652857574094, 0.28344499569091214, 0.6543240937292134, 0.08376217667770429, 0.10937759197863374, 0.10863634839385082, 0.11652887545517986]","[175.14394082733637, 170.44152981767365, 178.632891367111, 175.09481786381582, 177.2157186589531, 168.75849354860742, 67.30372945547623, 154.37123682216134, 67.2530277685322, 158.61681113684847, 72.49318360370829, 54.7675622899629, 52.038608778933025]"
"[0.6870806473122794, 0.856967820455087, 0.8994752116636079, 0.3116877542660732, 0.27517199956143773, 0.38064810985564723, 0.253235387226851, 0.6070668344883957, 0.06980374085491133, 0.10652837539274151, 0.1064133612164533, 0.11657156053387954]","[176.76370001783124, 179.79073913745526, 173.790162236007, 178.18901639364705, 177.9310317669024, 171.86579056307545, 55.01536626975292, 157.68006175304023, 61.901511804646454, 160.85924539756456, 74.52030101768668, 58.168710887799406, 55.55291445814081]"
"[0.6843059833050109, 0.8462385286071079, 0.893450562406983, 0.2993119831743306, 0.2550627289179769, 0.37414014325288025, 0.246223926632216, 0.6163079259143577, 0.07132530949455898, 0.10317223107127432, 0.10484022590364113, 0.1148115808666904]","[176.03153074875627, 176.59433493833083, 174.58827758216654, 177.18869207393902, 178.03459096169266, 171.1655381577361, 55.46785225817165, 158.09500728689883, 64.97178692303152, 160.8097861886771, 75.0896915425493, 57.44185329628274, 54.52915563454294]"
"[0.6955311159391675, 0.8407976244278764, 0.8966294468947898, 0.3048958334460358, 0.2697891452614683, 0.3526158901486969, 0.24594073571886285, 0.6100422631271673, 0.06713549542927351, 0.1057985286989393, 0.10589307423276523, 0.11523281726750281]","[175.96522085901432, 179.6847994606193, 173.3845973431378, 176.91818168669707, 177.0217350341364, 170.79207724061501, 54.35959203687474, 157.1251673764141, 61.04880989524691, 160.39957323124574, 75.2676888183842, 59.04230971225059, 56.94564571206285]"
"[0.6693409500769623, 0.8191936610316009, 0.8838493963302646, 0.28974883626748843, 0.23614212853958164, 0.49667813457212723, 0.22505275366007357, 0.6301586114516318, 0.07297124948938975, 0.10799796749360717, 0.10732797524672487, 0.1194314215704791]","[171.4474336601165, 156.87356266324153, 175.28720923735654, 176.63710504771316, 179.84226084710193, 169.93466774766767, 58.38887003122049, 156.8232885509885, 61.2416000929252, 161.6162819546599, 71.0308211605057, 58.327359306642954, 56.033225968105825]"
"[0.6781456777620276, 0.8424842628148095, 0.901224272822667, 0.29590125896797487, 0.25276139559930555, 0.4927792569167659, 0.22683466108140302, 0.6372378916101027, 0.06774156609317761, 0.11040133332773013, 0.11043209238975202, 0.12172825273792828]","[171.5685531769179, 159.0240239767418, 174.6628977759048, 176.6661496669099, 179.4911437810304, 169.71439530531052, 57.2061440432449, 156.83569989270342, 57.27869789166457, 161.35811314669277, 71.5493126019537, 58.93029324883507, 57.26566948948439]"
"[0.6744845941379439, 0.8159388703684135, 0.8601955236379671, 0.28215478400805966, 0.2357155333819317, 0.3824141286490425, 0.2484191951322011, 0.6097100698631537, 0.07184559826231285, 0.1040070016840821, 0.10451453396533093, 0.11441607947277739]","[179.13408806433756, 173.69236656482389, 175.37995357588613, 175.8841993260035, 177.8851533563663, 169.88672883195778, 61.85060040419975, 157.3724959991859, 61.108616809002825, 160.27127760496677, 71.55755758156383, 54.10653644893604, 52.84340056317743]"
"[0.6756880885177675, 0.8093663664439928, 0.8524241361133819, 0.2842090196479426, 0.24108145752911697, 0.3802036195545869, 0.24495331023600517, 0.6039751096656613, 0.06927626847340224, 0.104330841611399, 0.10434454645575252, 0.1147659873492012]","[178.65570571957304, 174.27821243578083, 176.21068027600933, 176.4291115382303, 177.38207101767847, 170.22021725901146, 63.45385478600898, 157.09572383913522, 68.82387118464014, 159.5032177673176, 70.86426956234531, 54.77935480830893, 54.48756302864843]"
"[0.684348692463265, 0.8132837307071575, 0.8390125335599161, 0.27754245578818365, 0.2437202053748589, 0.3591754614520088, 0.2482561577985256, 0.5937550391940067, 0.06846459209924165, 0.10693214147455839, 0.10569665111421003, 0.11032549411347745]","[177.51164040451013, 173.60876188926338, 175.24666095929155, 174.92259266696206, 177.56827233690746, 169.69462697846706, 61.07324353682864, 157.02729712230183, 63.57324026726069, 158.12722386586867, 69.93012241902794, 55.11365344865635, 53.494425519095216]"
"[0.6905414209055928, 0.8168943292658328, 0.8361108144001979, 0.27855321043698716, 0.24420939518132012, 0.3626956936804493, 0.2452526705165053, 0.5909426821923188, 0.06776772790831907, 0.10546026645325855, 0.10549059253545676, 0.11052566808269773]","[176.78919572270755, 172.94185885165072, 174.78149829798866, 174.69112323948542, 177.9557203798796, 169.3926496135215, 60.7827415409177, 157.17474919805386, 63.93517009196581, 158.55890465760208, 69.48039587262454, 54.5132079984954, 53.35453507978539]"
"[0.6834381487961566, 0.8082288920682087, 0.8460763882038878, 0.28548475063780315, 0.24292301036712607, 0.36788788568051933, 0.23866602447340657, 0.5932642192517568, 0.06831378875692505, 0.1036742878567273, 0.10360312901708192, 0.11203659731378875]","[178.39826212997443, 173.17053910256848, 175.03452359660866, 175.35614277940425, 178.68396543870082, 169.83741704835438, 60.35824711861296, 157.13783453191311, 61.511761169998074, 159.44887335125188, 70.42918894235459, 54.745433280615565, 53.45191108406869]"
"[0.7294695973995813, 0.8748862782510662, 0.9051058758141189, 0.3019467677923093, 0.2639971066978564, 0.42082292761007006, 0.29578095130697324, 0.6464979693492773, 0.07839509139045772, 0.1132938453692283, 0.11138367942395168, 0.11710631839159392]","[175.73437977428628, 177.25903923514716, 178.98343067043587, 176.4020850767914, 174.64954065679913, 169.90418101347043, 60.98226944050194, 158.79072705057217, 75.82004862977388, 159.17376266389002, 74.05214236405102, 58.34065507135995, 54.465910807582034]"
"[0.7189114874144428, 0.8671053311878959, 0.8953861092254802, 0.3025784135212945, 0.25884264933214307, 0.41892802189987843, 0.301054192954043, 0.6435172304318214, 0.08294987244487927, 0.11641254285352959, 0.11209649311587044, 0.11743088186260837]","[174.85122505596587, 178.14120435398772, 178.40530828392218, 174.89185034847156, 175.3644062328915, 169.98670565940265, 62.757360320044775, 157.85300265038603, 75.18749233877877, 158.92276720179368, 72.27283674143982, 58.2512477711136, 54.62535461695813]"
"[0.7212381290222553, 0.8619134004908434, 0.8923342110853721, 0.3049086190395959, 0.26693658382986074, 0.4076873862490587, 0.30433179196950616, 0.6443496721119092, 0.08579117594237583, 0.11368577773125177, 0.1132711233273576, 0.12155505978645416]","[174.29975176642978, 177.63484463007663, 179.86962394870739, 176.86303125891112, 172.86975093801598, 170.08795495685945, 61.32602776444295, 158.60886008485795, 78.76954060914521, 160.05402960399545, 70.9115680698453, 56.710177658559765, 55.193062033683326]"
"[0.7128964143334611, 0.8561519285581665, 0.8900355418412517, 0.30844632209927747, 0.2793713815834109, 0.4114559807088734, 0.29728886266497095, 0.6453284558692897, 0.07940334458557846, 0.11369625034439741, 0.11535332440778003, 0.1257070112494991]","[174.64355702501982, 178.563505884989, 178.98344077626257, 177.65635091811816, 172.80421800802978, 170.570635891833, 62.07426949146701, 158.29810727845876, 79.63628985582594, 159.89099485645286, 71.2245603059875, 56.1256989747828, 55.851848133251934]"
"[0.6983016031823387, 0.8368916420417581, 0.8810295170013097, 0.3218604497010985, 0.27676106313094806, 0.41002545806198765, 0.2874708193238575, 0.6184725430764251, 0.08947709391586897, 0.11176529781872988, 0.11591313317318472, 0.12771023011401048]","[174.90863571952357, 179.20066263870785, 179.16449064040737, 177.39491222229313, 173.1810855259149, 170.64965836379935, 64.26864240942962, 157.52154222517618, 80.36165208508785, 160.21072796888677, 70.46056677511228, 54.97932702489695, 55.05994464897863]"
"[0.7172622428590837, 0.8850399168586104, 0.8973490984191751, 0.29334220740453487, 0.24845441251729955, 0.37328504510628746, 0.291127118208893, 0.6480540715114894, 0.06907984547690098, 0.11497679733384522, 0.10699437816293897, 0.11432627073935496]","[174.26374440331136, 177.45257913049684, 177.90871950968503, 174.3281657214891, 178.0559374869943, 169.02767217846636, 64.50749688000168, 155.7145470505291, 66.79149987681413, 158.0304853552816, 71.85148551810043, 55.80879403851008, 51.99945709926168]"
