Distances,Angles
"[0.462578166954719, 0.8325571085086472, 0.8388419477771443, 0.8299674504856921, 0.3628085465011112, 0.4791913938311207, 0.16191212795445245, 0.20132021914808837, 0.47094560761075777, 0.10275244156155783, 0.09210345144174259, 0.10110127464891026]","[126.82361010220173, 152.01040299893134, 175.40886684124294, 176.1436452993798, 175.04903170735247, 177.90802161552747, 170.86895465887466, 174.21177484107238, 51.130577219367765, 162.66297822436738, 79.93675991369426, 68.66256717956604, 58.79015185988666]"
"[0.4614980290102559, 0.799677078837699, 0.8039386104418161, 0.7797441105232397, 0.4172153966417724, 0.43345042815835894, 0.14900563103860412, 0.15389830279860514, 0.3652589359940321, 0.09547303702196035, 0.08602239370142072, 0.08581494530285566]","[131.92851821491897, 147.73970202865684, 174.68511228980023, 175.45537910011078, 171.8374364003706, 177.73214045936152, 168.17800574742662, 172.72550267752044, 78.23510668978653, 143.05580328677635, 79.8142828743492, 68.22150745740245, 61.60819513764078]"
"[0.45254475759477525, 0.7885957667909841, 0.8011136815252434, 0.7798783698607618, 0.40067200086954863, 0.43515748352156625, 0.14795289201172193, 0.16209363803044183, 0.38221667910042695, 0.09699654779363154, 0.08551067656376435, 0.08377180934810707]","[128.903763680114, 147.8345205923998, 175.50373527878904, 176.7454010656285, 172.26681011229618, 178.7704512879001, 166.93114851770062, 173.37498426333968, 66.12338297490508, 146.5344328724797, 79.7979400648866, 70.3003896149801, 62.96656093414372]"
"[0.4200961892982964, 0.7885818380082732, 0.8017427048004856, 0.7726936341700592, 0.41437335019529753, 0.43918912605075394, 0.14582199960867906, 0.161385689296301, 0.3600220519172039, 0.0986702440630955, 0.08307979876013633, 0.08542034136482383]","[123.76264381074765, 147.13153602729935, 176.02537494558584, 176.59656694749845, 173.17439526368895, 179.31156173807116, 167.48704070528836, 176.035204922906, 64.8944975606142, 147.72177082724295, 83.03540461568194, 73.75146785906625, 65.37924422759191]"
"[0.419191349102855, 0.7817673128182354, 0.7907577931235282, 0.7561795316095046, 0.39513483443172515, 0.44383101523729923, 0.14429009667119191, 0.1688076917214778, 0.3639143175771708, 0.09693233870961823, 0.08412055511819398, 0.08417882206625998]","[123.40196374332139, 149.62607629894245, 175.73760064735995, 176.58541845762474, 172.20004363604605, 178.6881070647087, 166.10232366702155, 174.587254193184, 66.44346344585448, 153.45095507499622, 80.95350587099395, 73.2183806286712, 67.205989514965]"
"[0.4138103522327716, 0.7898552338364176, 0.7956744236616613, 0.7597156794805804, 0.39719632091338697, 0.4507507978691826, 0.13994652528961252, 0.17337386574976513, 0.36333967317712057, 0.09852723172228116, 0.08408265075086434, 0.08393266640078013]","[120.95019428228447, 150.0272919984283, 176.36789110881926, 177.0989214717085, 173.6174085856678, 179.40022643471508, 167.1634481449015, 174.03621452686943, 62.06763649602783, 150.05949855586877, 81.78496968730246, 75.14319554956619, 65.849111770397]"
"[0.4079859209911659, 0.859808154488635, 0.8724075019134251, 0.825518146551059, 0.2818430632020957, 0.548667311249224, 0.230448577424515, 0.1952282627951657, 0.5646937941139222, 0.11224660641320154, 0.0973265889131229, 0.11339725956211719]","[116.87515444748743, 155.5304364844359, 176.03293173937183, 175.30671579097543, 172.40261610083738, 173.27424965295378, 172.28187229222843, 167.5144521510467, 54.5107564967545, 166.0844431970646, 75.16973123178117, 62.61292859802037, 50.98340905008398]"
"[0.40822599136197807, 0.8615750586874799, 0.8759366294643108, 0.807937671633455, 0.28484957603542554, 0.5454659804650318, 0.22052290722660192, 0.19529485820819956, 0.5397489871209298, 0.11349976732998618, 0.09924561971076507, 0.11412015291475318]","[117.75664789303731, 154.4293012831864, 175.71271644979393, 176.18509702628228, 175.09631247643162, 172.25305113026621, 167.9198075390053, 167.096580708285, 52.33107606400806, 164.64718129374398, 74.07720211058296, 62.96925208582206, 51.00278290307544]"
"[0.45278015875839184, 0.8271180761803419, 0.8185365751823259, 0.8041557558899801, 0.4288752070232144, 0.5086653326991253, 0.22574613675137417, 0.2249019092027146, 0.3801217033251244, 0.11545452665495921, 0.09443289051823507, 0.09697686581485711]","[123.81454181224105, 155.1258184807028, 174.47801212100737, 174.52548810416167, 170.44087079841293, 176.4969994447277, 169.4251037839493, 172.56754727956925, 71.68742255367226, 147.9085459454197, 77.69365387427415, 67.40091517511631, 57.76348794156866]"
"[0.46198332012622617, 0.8441545120013036, 0.8302979155877418, 0.7957317581242209, 0.4079364357203031, 0.5392754859318645, 0.21503531571597048, 0.22134629774963505, 0.3889115493357742, 0.11205900367253122, 0.09654632569873754, 0.10167254323082348]","[129.0867045826205, 157.23276091772962, 173.88625717661662, 174.6808520852465, 167.92743118449079, 177.33779559672226, 164.7401089801053, 173.4488184387206, 51.62840374380237, 157.72775471163376, 80.38407750052237, 67.62762652523725, 56.83299845572646]"
"[0.46665810016958226, 0.8385080252764273, 0.8228652191507206, 0.7802353967259431, 0.4012042823519713, 0.5374341382272774, 0.17937643507961265, 0.2664475710836616, 0.3828515574804512, 0.10984424354024584, 0.09353722178046847, 0.09497671999625877]","[130.23698382526626, 161.76872061513978, 174.9089657896724, 178.60043291076087, 170.88043153786631, 178.28155181932004, 168.61526423947737, 175.26327304411143, 43.773936978338746, 168.05165905557536, 81.63963442439402, 68.99257082558738, 58.652746639521354]"
"[0.501129197754694, 0.8302222887612272, 0.8219114826236594, 0.8174395162724294, 0.44970990221931434, 0.4726766632692559, 0.20910746672949734, 0.22585246336367404, 0.3705701273672395, 0.11267247666922815, 0.09618425053198443, 0.09737932420913666]","[130.92768652583274, 151.78863988025563, 176.38794983773695, 175.41884744646873, 175.3668954237206, 178.25824084734603, 168.34353296604803, 175.30146650101827, 71.4563222914114, 143.31623447694403, 78.49251007954958, 72.12507571535654, 64.88516885134345]"
"[0.4504343622750098, 0.8486021118934751, 0.8657655759259204, 0.8700431830873201, 0.4842310180242521, 0.46208715225752645, 0.17558022466806017, 0.15803323404562317, 0.3963538503763054, 0.11384275641366147, 0.10250453217582273, 0.12096649257909363]","[127.7787072411197, 144.4289379855055, 174.05947890937176, 175.0403234113571, 171.03028572612246, 177.48970133298542, 168.40803965957178, 176.36124970312363, 92.69438510253161, 136.76995193065216, 81.16968252261564, 70.89683961317459, 65.72076004547785]"
"[0.4281065183581192, 0.8462933494291028, 0.8762481363825002, 0.8742802365839003, 0.45835574585171374, 0.4961003018085091, 0.19167062128434292, 0.17141573546295066, 0.43009516017838423, 0.11499323918975445, 0.10130266103107098, 0.11865933605250971]","[126.12805096692783, 157.27720284671773, 175.86988540553452, 175.17483256290927, 169.78058605610175, 178.03113110275117, 166.0580251396926, 173.7203857461573, 72.99255872519298, 145.94703469186845, 82.66059120400733, 71.06000950524052, 61.65292380239255]"
