Distances,Angles
"[0.45232378384805944, 0.8654404869209107, 0.8855367380192168, 0.8447413790261338, 0.7280982603648407, 0.49397528046111205, 0.2029386054887491, 0.18577394268178754, 0.20871205669841503, 0.11550823680400159, 0.10015150837415372, 0.11030880530468051]","[122.01813007598093, 152.28468226805762, 175.57773299645325, 175.69518450097053, 173.13781544965568, 175.22094419119102, 170.76008565762584, 175.37785941025325, 179.0744545625314, 174.43203421417417, 82.42407356274995, 69.62178176519367, 62.11042741642285]"
"[0.48380342494787587, 0.8926017503456755, 0.9001283171742929, 0.8519181158549902, 0.7333229273960868, 0.5000807965337732, 0.20050939237253376, 0.19244247195060285, 0.20744696690546088, 0.11635811055301434, 0.1001021039532811, 0.10983924120063805]","[126.47195930598413, 154.3966014679053, 172.04928036068432, 178.33418913029678, 173.23397669954048, 178.45007296079575, 173.57259974882083, 177.75337303910646, 177.5495338761907, 175.4219961460951, 80.45402553926644, 70.10938141856394, 61.7985397491838]"
"[0.4751518152854249, 0.9000822389936561, 0.9076633337036113, 0.8536790299801336, 0.7323518078007458, 0.5131908135493165, 0.1886121117651331, 0.19655834411338352, 0.20987152883677848, 0.11408400007544241, 0.09913725459384441, 0.10918550374655138]","[124.45362436889073, 155.46971046738685, 172.32641173970276, 177.96372150373358, 173.74221855787144, 177.61121692275884, 173.97719120864534, 177.85510729780034, 177.3789225629749, 175.7123363701499, 79.94320294113383, 69.87828812763722, 61.15812509913824]"
"[0.463263102957405, 0.8975512828098982, 0.8969842572367723, 0.8488509238462879, 0.7057255907079385, 0.5167984561381885, 0.2037127123990691, 0.18726792361157255, 0.22461228342032916, 0.1088439737648535, 0.10128281653877874, 0.11480907085961027]","[124.37420770838949, 153.8263971534686, 171.70763979461856, 178.16678121932512, 170.1177264544107, 177.99674953165123, 169.75178104700015, 176.2837351413806, 175.14403302130478, 176.6254444153524, 83.70878981036812, 66.15978771092314, 58.03988301250338]"
"[0.446436838922395, 0.866512129922849, 0.8817896731243609, 0.8502283463932134, 0.7284936564047813, 0.47942080834054684, 0.21220920841925522, 0.14909249869442137, 0.20155687901946728, 0.10625412802770362, 0.0894074206012044, 0.10326015239193582]","[119.59212272653066, 153.80287891285937, 174.04999461911393, 178.35143820456747, 173.74895853907694, 175.29600113752855, 174.65897283971407, 174.06178995407234, 177.02221191997035, 172.79662744900457, 80.13235444200009, 70.15707665559994, 61.177335281479834]"
"[0.5352283124213997, 0.9084700732051137, 0.9050662867705143, 0.8622880519921006, 0.7464959297414511, 0.45892692841190935, 0.20629381584703468, 0.23141315423701248, 0.2363032023835829, 0.10859579552719799, 0.0968513192444189, 0.11205084692989055]","[136.09903846665753, 153.26507980086868, 172.19019712213827, 178.45344439208912, 175.76316511101533, 178.48034674410377, 179.59569825726092, 175.66591527719572, 174.2244108640114, 172.68217152739507, 79.91467406795356, 68.13714278649664, 59.95289266564693]"
"[0.5284444098105506, 0.9117658128761652, 0.917194424460547, 0.8675020913822368, 0.7538515663363365, 0.4653631742297257, 0.19436830639822644, 0.24736555703738378, 0.22080917988280077, 0.11197338788907979, 0.09993805045221843, 0.11468866747083915]","[134.8631759870535, 153.19779858187354, 171.82934289606393, 178.5437540052814, 175.8864730379675, 178.55635082094014, 178.1468364500227, 176.25801089334072, 174.41188229252947, 173.0028969069554, 79.39073671755273, 67.97662212613223, 59.42240942771635]"
"[0.5307064080101297, 0.8990413290547048, 0.8958090525648456, 0.8446094501730116, 0.734897217751471, 0.45026491116734585, 0.18631090775700399, 0.24460927005411043, 0.227990784496898, 0.10864444520019863, 0.09669866787492745, 0.10902612179523691]","[135.64023861921999, 155.0225711913004, 171.42608037664436, 178.69700586006167, 176.68673857476185, 177.89768394077723, 177.62028655330195, 175.35083771228085, 173.71294085996018, 171.79271222057505, 77.90760226572354, 67.2793575260611, 58.592375454156006]"
"[0.5402850899803526, 0.9162113005154404, 0.9159659596345434, 0.8721396873070237, 0.7597667565369043, 0.4590940315191512, 0.1899197543191302, 0.2372231621236907, 0.22910643425847177, 0.11343536510741348, 0.10016514485569604, 0.11389621620321663]","[135.84450054569984, 150.51685306355182, 171.05607117055754, 178.99606302084604, 175.5812115804104, 179.0927390465614, 177.31191362859005, 177.27980585118672, 174.31539645406158, 174.1277159730271, 79.52052693655453, 68.72217644777986, 59.946248077442384]"
"[0.5310584743467128, 0.9163259670537539, 0.9088659789252523, 0.8673864780707677, 0.747682423659008, 0.46470622339392226, 0.19110169422209677, 0.21905930224565803, 0.2501557225298831, 0.10746547453244465, 0.09661154557287348, 0.11343369689093732]","[135.08179451851117, 150.08383154791633, 171.512592705758, 178.9016871989223, 174.69886193373586, 179.52924630413878, 178.72971711190473, 176.79080515246628, 174.16750941861508, 173.37550328317755, 79.26257254303975, 67.92090131050598, 59.494278374271374]"
"[0.473146117114018, 0.8360911475627282, 0.8194967594529643, 0.76839753780461, 0.6628240568197759, 0.48006395713104927, 0.16153931713875241, 0.15481127793907826, 0.22325693280926148, 0.10702486579896792, 0.0955876123239855, 0.0998572439571655]","[135.75115221580285, 155.24018320408385, 171.9197239578091, 178.98421132948548, 170.79500812571754, 178.04821595526903, 169.74133389423653, 176.2824836002671, 178.76567869491106, 172.7046958399287, 75.06216141902371, 66.09429207168229, 59.72950816957469]"
"[0.4763173400705538, 0.82719535818644, 0.8084603795574524, 0.7556595254114976, 0.6457116980557047, 0.48090984626103384, 0.1673829764006079, 0.15479064393504036, 0.22751889234604114, 0.10946100588238948, 0.09656296127155188, 0.10020887289732125]","[135.05832057121867, 155.9064195259347, 172.52076878124035, 179.26770956394796, 172.3443627973772, 177.91536335245837, 172.34999684502722, 176.20952338763732, 178.45525415632505, 172.0622717003088, 73.16362034832527, 67.26151964471839, 62.198500321323166]"
"[0.4680547025584962, 0.8296310073479118, 0.803151960147565, 0.7491880439211897, 0.6205367461526952, 0.4788410823822052, 0.16145059601807266, 0.15115919156306326, 0.23341910720838616, 0.10872904843861468, 0.09697784046674769, 0.09898755514959903]","[138.01028798137935, 156.5366831762749, 171.53114565122024, 178.72774208378425, 168.11376571823547, 178.06515991969474, 167.70392318195616, 176.46396893771387, 176.7883284225736, 171.48923125176023, 72.37776128219085, 65.72369133809806, 60.8062081377112]"
"[0.4607879082600378, 0.827537900368724, 0.803671847938846, 0.7509064214076305, 0.6174140649071747, 0.4732022754966617, 0.15542365444321224, 0.15108862209332233, 0.23587690616630827, 0.10780956233280203, 0.09592706556377432, 0.09818261687756809]","[135.97825981552955, 156.8359758914166, 172.4617934278955, 178.18595967995915, 169.67030416235153, 176.8534142271037, 170.61997032021893, 175.13672726096144, 177.64657235737656, 170.53493610740716, 72.09660259811268, 65.49165725871089, 60.39301056422084]"
"[0.48883507324756686, 0.8378725457235638, 0.8186090262783469, 0.7702086905241828, 0.6566849982999816, 0.4703937853743558, 0.15727044737534085, 0.15187410990704261, 0.2321334463349512, 0.10806701355513433, 0.09652016419976345, 0.10005051791322556]","[136.8408866072123, 155.45431285195392, 171.00212481218796, 178.95939770747555, 169.70993706028497, 177.13074511639596, 169.5719240102618, 176.90278784276012, 178.58522992853716, 172.2613367410362, 76.10284706815935, 66.8427455821257, 60.83858279083604]"
"[0.4758045652243403, 0.8731127223363837, 0.8897926580347422, 0.8419849416839842, 0.7235524070170812, 0.4620761910278268, 0.1865159182402355, 0.1770568189627409, 0.2565777005860473, 0.11118909279957558, 0.09855006940335052, 0.11611361043221101]","[128.76046746317897, 151.67695371347264, 171.44093266655287, 176.68551882795387, 174.82659458373672, 176.64407315345528, 173.4557319779966, 175.5856395601629, 176.79557990765744, 173.5491379810984, 78.04222163432321, 68.35913530172145, 61.63506092941221]"
"[0.4814170969565359, 0.8766425248273155, 0.8906530934869263, 0.8483138864535573, 0.7239771947385898, 0.46239509238813786, 0.18984400275990754, 0.1730302443331716, 0.2692128051763611, 0.1101191274742746, 0.09623030308191106, 0.11504185404189875]","[129.40815218709258, 154.07497585705084, 172.65923339069693, 176.81825397994984, 175.95186664778245, 176.62338489650404, 175.57825011836474, 175.4857446024747, 176.3292018804587, 173.7625074792806, 78.06449761934068, 68.7768831797528, 61.13742239547542]"
"[0.48615481512449715, 0.8772878148435342, 0.8853969499415316, 0.8363548352834791, 0.7213603065254424, 0.4677586882200356, 0.1766025818553644, 0.17719597337079662, 0.27949466689022723, 0.11663047774833749, 0.1009239292172208, 0.11504008261175075]","[129.9052953498804, 152.81847746746323, 174.93628428820261, 175.76703720061067, 172.99863968105097, 176.805489745993, 167.47865027157764, 176.17278443964244, 176.68063970773807, 173.7554619247136, 81.57569629762905, 68.22185351482784, 60.88985425390451]"
"[0.48380676718338245, 0.87855316292372, 0.8925624963473101, 0.8330387103230199, 0.7150856753994478, 0.47662135663823735, 0.17904897368699924, 0.19153431786954941, 0.2679391501174436, 0.11838425573167835, 0.09939499152665678, 0.11176054197874491]","[126.80230187254092, 153.6079613240734, 173.07821704842382, 178.49969350892238, 173.9465442722638, 178.37891905327456, 170.4889674452545, 177.6276767289983, 178.61640264153377, 173.75947741020028, 78.85200884439466, 68.05794153331998, 60.19832645634341]"
"[0.4683362087658436, 0.864442262836384, 0.8929804609955498, 0.8518830569875642, 0.7409365103739, 0.46446983975809497, 0.1906467640561465, 0.18560594594069232, 0.26557185681540807, 0.11111708031361044, 0.10100051871965912, 0.11862817381758349]","[126.88595029500976, 155.78955191421116, 172.04385421176983, 177.39834397421126, 170.16347863517592, 175.23186015624552, 168.1958713595557, 175.74228901202298, 173.1651103448563, 176.4577442252252, 86.81089323670247, 68.62895869159352, 62.060461093928545]"
"[0.4964191627865506, 0.8936967217706702, 0.8877370433101975, 0.8337031907195104, 0.7261664131434955, 0.48463350588258225, 0.20653234552617442, 0.2104916835926002, 0.17270269372642713, 0.1093878150208535, 0.09901918193151127, 0.11083909164550695]","[132.26644661563293, 157.22189030764443, 173.5745271097981, 178.06649866909532, 173.15185139758998, 179.29695170563963, 175.56024502808634, 177.53023722199987, 177.37565292629137, 175.04490330211033, 79.02607773297437, 65.52580647102863, 58.27386974169934]"
"[0.4915553744759605, 0.8786040404574894, 0.8967823131396251, 0.843182755501264, 0.7266425852830513, 0.4813816290172879, 0.1948534349904951, 0.21730191285814504, 0.20535912233315318, 0.11102662067201376, 0.09813688280236588, 0.10959456555108252]","[132.09792204298492, 159.27575733961115, 175.44980297839223, 176.86965204199393, 172.36309812915604, 175.86999395228816, 170.42749477848895, 175.50119826176294, 178.67683113686482, 173.807705998295, 82.53230893333938, 67.17837882143355, 59.59137778485691]"
"[0.4814163151256131, 0.8705004948885154, 0.8831768774653116, 0.8341060778043684, 0.712226456217588, 0.4815428866826925, 0.18144648929439353, 0.21056613242886477, 0.21934098479991979, 0.11084143897368333, 0.09732650611822094, 0.1096550035540916]","[132.36904168190924, 160.23750697690687, 175.6456379896357, 176.3026555542216, 172.15945493947947, 175.56243764641226, 170.91128336086405, 174.9000066824081, 178.77180276284318, 172.5395955717517, 82.29413801283175, 66.60046642051374, 58.817517936354506]"
"[0.49564276591472733, 0.8962650287586473, 0.8892094884939851, 0.8136030989538265, 0.6960122465684166, 0.491508545968631, 0.1882824789237808, 0.2295357163123332, 0.19719585534496217, 0.11144375356100941, 0.09750499301890507, 0.10495228764829403]","[135.20450306365558, 162.03157436402915, 172.35292374670877, 177.28634686025288, 171.55582212894893, 177.80973117337393, 172.95569951657512, 175.51371872381492, 179.53132317894483, 169.7509158539265, 79.46047564533707, 66.8300577389166, 57.71391722201038]"
"[0.4962699901578698, 0.8642754276882612, 0.8775051582464014, 0.8352682385126603, 0.7288682318884435, 0.43350701511983686, 0.19988394474330407, 0.2014099774445798, 0.2006477331168326, 0.10886570341244699, 0.09471177333661102, 0.10746877178290525]","[131.08305355621866, 151.6618701877989, 173.26615464693188, 177.55551701323552, 173.96854268325413, 177.2872687202965, 171.8682201896277, 175.98789319562894, 178.71760420606802, 174.8043746929671, 79.81453574049223, 67.52332725566444, 60.41527484241466]"
